gene,pathway
ACO1,Metabolic Signaling
ACO2,Metabolic Signaling
BRAF,MAPK Signaling
AKT1,PI3K/AKT/mTOR Signaling
AKT2,PI3K/AKT/mTOR Signaling
AKT3,PI3K/AKT/mTOR Signaling
ALK,RTK Signaling
APAF1,Apoptosis
APC,WNT signaling
AR,Hormone Signaling
ARAF,MAPK Signaling
ASNS,Metabolic Signaling
ASXL1,Epigenetics
ATM,DNA damage/repair
ATR,DNA damage/repair
ATRX,DNA damage/repair
AURKA,Cell cycle control
AURKB,Cell cycle control
AXIN1,WNT signaling
BAK1,Apoptosis
BAX,Apoptosis
BCL2,Apoptosis
ABL1,RTK Signaling
BID,Apoptosis
BRCA1,DNA damage/repair
BRCA2,DNA damage/repair
BRIP1,DNA damage/repair
BTK,Immune Response
BTRC,WNT signaling
C11orf30,DNA damage/repair
CASP3,Apoptosis
CASP8,Apoptosis
CASP9,Apoptosis
CBL,RTK Signaling
CCNA1,Cell cycle control
CCNA2,Cell cycle control
CCNB1,Cell cycle control
CCNB2,Cell cycle control
CCNB3,Cell cycle control
CCND1,Cell cycle control
CCND2,Cell cycle control
CCND3,Cell cycle control
CCNE1,Cell cycle control
CCNE2,Cell cycle control
CD274,Immune Checkpoints
CD79A,Immune Response
CD79B,Immune Response
CDK1,Cell cycle control
CDK12,Cell cycle control
CDK2,Cell cycle control
CDK3,Cell cycle control
CDK4,Cell cycle control
CDK6,Cell cycle control
CDK8,Cell cycle control
CDKN1B,Cell cycle control
CDKN2A,Cell cycle control
CDKN2B,Cell cycle control
CDKN2C,Cell cycle control
CRAF,MAPK Signaling
CRKL,MAPK Signaling
CRLF2,JAK/STAT Signaling
CS,Metabolic Signaling
CSF1R,RTK Signaling
CSNK1A1,WNT signaling
CTNNA1,WNT signaling
CTNNB1,WNT signaling
DDR2,RTK Signaling
DNMT3A,Epigenetics
DOT1L,Epigenetics
DRD2,Metabolic Signaling
DVL1,WNT signaling
E2F1,Cell cycle control
EGFR,RTK Signaling
EMSY,DNA damage/repair
EPHA3,RTK Signaling
EPHA5,RTK Signaling
EPHB1,RTK Signaling
ERBB2,RTK Signaling
ERBB3,RTK Signaling
ERBB4,RTK Signaling
ESR1,Hormone Signaling
EZH2,Epigenetics
FAM46C,Immune Response
FANCA,DNA damage/repair
FANCC,DNA damage/repair
FANCD2,DNA damage/repair
FANCE,DNA damage/repair
FANCF,DNA damage/repair
FANCG,DNA damage/repair
FANCL,DNA damage/repair
FAS,Apoptosis
