geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000004660,CAMKK1,13,Spleen,21.8703088830436,15.4031983761719,0.843980560563997,-0.244718325221372,0.380891074520572,0.619108925479428,0.761782149041145,0.821922845018077,84254,CDS,(RefSeq) calcium/calmodulin dependent protein kinase kinase 1,,Alcoholism,1
ENSG00000004766,VPS50,8,Spleen,46559930.6879792,11.2364658594024,0.711967632892845,-0.490116439266469,0.211663422985283,0.788336577014717,0.423326845970566,0.678364686217073,55610,"","",,,1
ENSG00000006118,TMEM132A,35,Spleen,25.7397834519856,6.804915968999,5.14334051433533,2.3627056703306,0.999999999912968,8.7031566219655e-11,1.7406313243931e-10,1.2948080865061e-08,54972,"","",,,1
ENSG00000007312,CD79B,2,Spleen,7.52403153607448,279.939232663412,0.00714440766651926,-7.1289698803388,4.83200542577878e-11,0.99999999995168,9.66401085155757e-11,7.45577772547677e-09,974,CDS,(RefSeq) CD79b molecule,,B cell receptor signaling pathway,1
ENSG00000007516,BAIAP3,9,Spleen,6.47083943347516,13.9998404242098,0.642864470400418,-0.637413476292918,0.2705390284928,0.729460971507201,0.541078056985599,0.678364686217073,8938,CDS,(RefSeq) BAI1 associated protein 3,,Transcriptional misregulation in cancer,1
ENSG00000010671,BTK,6,Spleen,15.9910675489612,51.1015813344856,0.117413196290874,-3.09033353010643,1.78850590953163e-06,0.99999821149409,3.57701181906326e-06,0.000123008852794371,695,CDS,(RefSeq) Bruton tyrosine kinase,,"NF-kappa B signaling pathway, Osteoclast differentiation, Platelet activation, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",7
ENSG00000012048,BRCA1,6,Spleen,12216711.9672282,3.60134254704728,1.66604534881564,0.736427670584025,0.926615600313486,0.0733843996865135,0.146768799373027,0.678364686217073,672,CDS,(RefSeq) BRCA1 DNA repair associated,,"Platinum drug resistance, Homologous recombination, Fanconi anemia pathway, Ubiquitin mediated proteolysis, PI3K-Akt signaling pathway, MicroRNAs in cancer, Breast cancer",7
ENSG00000014919,COX15,28,Spleen,989057.256390481,23.5820635924856,1.18734307920882,0.247736857606522,0.844618443508255,0.155381556491745,0.310763112983491,0.678364686217073,1355,CDS,(RefSeq) cytochrome c oxidase assembly homolog COX15,,"Oxidative phosphorylation, Porphyrin metabolism, Metabolic pathways, Biosynthesis of cofactors, Thermogenesis",5
ENSG00000015475,BID,5,Spleen,61.0494574374237,33.6383887422657,0.148639699669017,-2.75010860305993,1.36446117587332e-07,0.999999863553882,2.72892235174663e-07,1.1851039924399e-05,637,CDS,(RefSeq) BH3 interacting domain death agonist,,"Platinum drug resistance, Sphingolipid signaling pathway, p53 signaling pathway, Apoptosis, Apoptosis - multiple species, Necroptosis, Natural killer cell mediated cytotoxicity, Non-alcoholic fatty liver disease, Alzheimer disease, Amyotrophic lateral sclerosis, Pathways of neurodegeneration - multiple diseases, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Human cytomegalovirus infection, Influenza A, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Viral myocarditis, Lipid and atherosclerosis",24
ENSG00000016391,CHDH,13,Spleen,29118335.3488417,1.90043707161928,6.84053168302135,2.77410846350994,0.99999998427917,1.57208298434135e-08,3.1441659686827e-08,1.62086379459077e-06,55349,CDS,(RefSeq) choline dehydrogenase,,"Glycine, serine and threonine metabolism, Metabolic pathways",2
ENSG00000019991,HGF,2,Spleen,4.81663048692269,5.30662364712184,0.376887477423567,-1.40779423450715,0.20605366881664,0.79394633118336,0.41210733763328,0.678364686217073,3082,CDS,(RefSeq) hepatocyte growth factor,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Focal adhesion, Malaria, Pathways in cancer, Proteoglycans in cancer, Chemical carcinogenesis - reactive oxygen species, Renal cell carcinoma, Melanoma, Non-small cell lung cancer, Hepatocellular carcinoma, Gastric cancer",16
ENSG00000026103,FAS,6,Spleen,19.845012807754,16.6686320198994,0.35995755337553,-1.47410130262432,0.0162345696639963,0.983765430336004,0.0324691393279925,0.258133109373274,355,CDS,(RefSeq) Fas cell surface death receptor,,"Platinum drug resistance, MAPK signaling pathway, Cytokine-cytokine receptor interaction, p53 signaling pathway, Apoptosis, Necroptosis, Natural killer cell mediated cytotoxicity, TNF signaling pathway, Non-alcoholic fatty liver disease, Alcoholic liver disease, Type I diabetes mellitus, Alzheimer disease, Pathways of neurodegeneration - multiple diseases, Pathogenic Escherichia coli infection, Chagas disease, African trypanosomiasis, Hepatitis C, Hepatitis B, Measles, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Proteoglycans in cancer, Autoimmune thyroid disease, Allograft rejection, Graft-versus-host disease, Lipid and atherosclerosis",32
ENSG00000030110,BAK1,9,Spleen,30.1781649833407,43.4936754667795,0.206926637112428,-2.27280872346203,4.81441705784754e-06,0.999995185582942,9.62883411569509e-06,0.000300034471045059,578,CDS,(RefSeq) BCL2 antagonist/killer 1,,"Platinum drug resistance, Protein processing in endoplasmic reticulum, Apoptosis, Apoptosis - multiple species, Pathways of neurodegeneration - multiple diseases, Pathogenic Escherichia coli infection, Salmonella infection, Hepatitis C, Measles, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Transcriptional misregulation in cancer, Viral carcinogenesis, MicroRNAs in cancer, Colorectal cancer, Pancreatic cancer, Endometrial cancer, Glioma, Thyroid cancer, Basal cell carcinoma, Melanoma, Chronic myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",33
ENSG00000030419,IKZF2,3,Spleen,9768443.44903702,3.81756799932747,0.785840619087467,-0.347691354118603,0.469897347726261,0.530102652273739,0.939794695452523,0.956108267191618,22807,"","",,,1
ENSG00000037280,FLT4,5,Spleen,5.91288091299857,36.6495465925592,0.136427335802706,-2.87379535026325,0.00200135025900926,0.997998649740991,0.00400270051801852,0.0506551143173787,2324,CDS,(RefSeq) fms related receptor tyrosine kinase 4,,"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Focal adhesion, Pathways in cancer, Breast cancer",8
ENSG00000039650,PNKP,32,Spleen,18.9060820139,63.6612766882441,0.502660355944593,-0.992344184524244,0.0154343700890028,0.984565629910997,0.0308687401780055,0.248473866117103,11284,CDS,(RefSeq) polynucleotide kinase 3'-phosphatase,,Base excision repair,1
ENSG00000044115,CTNNA1,46,Spleen,13.9700797672793,78.4575903784658,0.58630401186302,-0.770279166286898,0.0618977438138583,0.938102256186142,0.123795487627717,0.662099867460987,1495,CDS,(RefSeq) catenin alpha 1,,"Hippo signaling pathway, Adherens junction, Leukocyte transendothelial migration, Bacterial invasion of epithelial cells, Pathways in cancer, Endometrial cancer, Gastric cancer, Arrhythmogenic right ventricular cardiomyopathy",8
ENSG00000044524,EPHA3,2,Spleen,27835387.3104471,1.50213889912427,1.33143479685266,0.412981778484208,0.808309726565511,0.191690273434489,0.383380546868978,0.678364686217073,2042,CDS,(RefSeq) EPH receptor A3,,Axon guidance,1
ENSG00000047936,ROS1,1,Spleen,6636042.38578312,1.00009108526449,0.99990892303128,-0.000131402275063171,0.735725373949258,0.264274626050742,0.528549252101484,0.678364686217073,6098,"","",,,1
ENSG00000048140,TSPAN17,23,Spleen,15.9393438389758,35.8472400969332,0.641611458449983,-0.640228187973968,0.116652932777656,0.883347067222344,0.233305865555312,0.678364686217073,26262,"","",,,1
ENSG00000049249,TNFRSF9,1,Spleen,8392017.36749127,2.60201288789886,0.384317850480558,-1.37962810781348,0.266996458755249,0.733003541244751,0.533992917510497,0.678364686217073,3604,CDS,(RefSeq) TNF receptor superfamily member 9,,Cytokine-cytokine receptor interaction,1
ENSG00000051180,RAD51,7,Spleen,36.3207615214272,3.80062243916585,1.84180357613642,0.88111920972228,0.95158706550002,0.0484129344999798,0.0968258689999595,0.554216689506045,5888,CDS,(RefSeq) RAD51 recombinase,,"Homologous recombination, Fanconi anemia pathway, Pathways in cancer, Pancreatic cancer",4
ENSG00000055130,CUL1,81,Spleen,40.4798225193749,51.448132780083,1.57440116138398,0.65480319001889,0.993755980738783,0.00624401926121673,0.0124880385224335,0.12132844355556,8454,CDS,(RefSeq) cullin 1,,"Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum, Wnt signaling pathway, Hedgehog signaling pathway, TGF-beta signaling pathway, Circadian rhythm, Shigellosis, Human immunodeficiency virus 1 infection, Pathways in cancer",11
ENSG00000059758,CDK17,22,Spleen,18.3285922879586,20.4426562670367,1.07618108491481,0.105920855150612,0.650522079547998,0.349477920452002,0.698955840904004,0.773052437384126,5128,"","",,,1
ENSG00000060140,STYK1,3,Spleen,9566172.52342572,2.42715074775359,1.23601717065848,0.305698785193556,0.773029064467721,0.226970935532279,0.453941871064558,0.678364686217073,55359,"","",,,1
ENSG00000062485,CS,21,Spleen,49.4650850531461,81.6289492190147,0.257261672493859,-1.95869155822693,3.32620633048534e-08,0.999999966737937,6.65241266097068e-08,3.26154301860598e-06,1431,CDS,(RefSeq) citrate synthase,,"Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",6
ENSG00000064012,CASP8,4,Spleen,10.7609288061012,30.0984514360239,0.132897202651846,-2.91161735718662,0.000246339737728961,0.999753660262271,0.000492679475457923,0.00899524948550911,841,CDS,(RefSeq) caspase 8,,"Platinum drug resistance, p53 signaling pathway, Apoptosis, Apoptosis - multiple species, Necroptosis, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Cytosolic DNA-sensing pathway, C-type lectin receptor signaling pathway, IL-17 signaling pathway, TNF signaling pathway, Non-alcoholic fatty liver disease, Alcoholic liver disease, Alzheimer disease, Huntington disease, Pathways of neurodegeneration - multiple diseases, Pathogenic Escherichia coli infection, Salmonella infection, Legionellosis, Chagas disease, Toxoplasmosis, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Human cytomegalovirus infection, Influenza A, Human papillomavirus infection, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Viral carcinogenesis, Viral myocarditis, Lipid and atherosclerosis",37
ENSG00000064313,TAF2,13,Spleen,2896086.35488278,13.1189776882116,0.990930871974993,-0.0131436773720903,0.559966568699631,0.440033431300369,0.880066862600738,0.912216469014101,6873,CDS,(RefSeq) TATA-box binding protein associated factor 2,,Basal transcription factors,1
ENSG00000065361,ERBB3,8,Spleen,1493842.59933154,1.12061957758488,7.13890793987494,2.83570339775215,0.999997183530481,2.81646951860659e-06,5.63293903721319e-06,0.000184760400420593,2065,CDS,(RefSeq) erb-b2 receptor tyrosine kinase 3,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, ErbB signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Proteoglycans in cancer, MicroRNAs in cancer",7
ENSG00000065518,NDUFB4,62,Spleen,30.3787147185713,75.5442164030691,0.820711405214617,-0.285053092689985,0.216247469126881,0.783752530873119,0.432494938253763,0.678364686217073,4710,CDS,(RefSeq) NADH:ubiquinone oxidoreductase subunit B4,,"Oxidative phosphorylation, Metabolic pathways, Thermogenesis, Retrograde endocannabinoid signaling, Non-alcoholic fatty liver disease, Alzheimer disease, Parkinson disease, Amyotrophic lateral sclerosis, Huntington disease, Prion disease, Pathways of neurodegeneration - multiple diseases, Chemical carcinogenesis - reactive oxygen species, Diabetic cardiomyopathy",13
ENSG00000065559,MAP2K4,22,Spleen,12536901.0082301,17.5531164923127,1.25333868829702,0.32577632519483,0.878845618483982,0.121154381516019,0.242308763032037,0.678364686217073,6416,CDS,(RefSeq) mitogen-activated protein kinase kinase 4,,"MAPK signaling pathway, ErbB signaling pathway, Toll-like receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, GnRH signaling pathway, Relaxin signaling pathway, Growth hormone synthesis, secretion and action, Alcoholic liver disease, Epithelial cell signaling in Helicobacter pylori infection, Salmonella infection, Yersinia infection, Chagas disease, Hepatitis B, Human T-cell leukemia virus 1 infection, Kaposi sarcoma-associated herpesvirus infection, Epstein-Barr virus infection, Chemical carcinogenesis - reactive oxygen species, Lipid and atherosclerosis, Fluid shear stress and atherosclerosis",20
ENSG00000065802,ASB1,12,Spleen,1079.70071159027,15.9422564694304,0.752716531879301,-0.409821437224928,0.198907148427106,0.801092851572894,0.397814296854213,0.678364686217073,51665,"","",,,1
ENSG00000066468,FGFR2,5,Spleen,25820078.9572997,1.11625526961953,4.47926216886235,2.1632611088479,0.998957402153542,0.00104259784645831,0.00208519569291662,0.0292167014799669,2263,CDS,(RefSeq) fibroblast growth factor receptor 2,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, Prostate cancer, Gastric cancer, Central carbon metabolism in cancer",13
ENSG00000067057,PFKP,4,Spleen,14.2901469640001,20.5865872224434,0.194301267945919,-2.36363277938191,0.00139486025591562,0.998605139744084,0.00278972051183123,0.0374329770496627,5214,CDS,"(RefSeq) phosphofructokinase, platelet",,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids, RNA degradation, HIF-1 signaling pathway, AMPK signaling pathway, Thyroid hormone signaling pathway, Glucagon signaling pathway, Central carbon metabolism in cancer",13
ENSG00000067225,PKM,81,Spleen,13.6386542975267,278.56963124207,0.290771106810322,-1.78204417546622,0.000205469572681034,0.999794530427319,0.000410939145362067,0.00773707780633354,5315,CDS,(RefSeq) pyruvate kinase M1/2,,"Glycolysis / Gluconeogenesis, Pyruvate metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids, Glucagon signaling pathway, Type II diabetes mellitus, Human papillomavirus infection, Viral carcinogenesis, Central carbon metabolism in cancer",10
ENSG00000068078,FGFR3,34,Spleen,6.09382364203885,8.52643960733779,3.98759641371762,1.99551940136295,0.999927983084795,7.20169152046503e-05,0.000144033830409301,0.00323142779199874,2261,CDS,(RefSeq) fibroblast growth factor receptor 3,,"EGFR tyrosine kinase inhibitor resistance, MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, Endocytosis, PI3K-Akt signaling pathway, Signaling pathways regulating pluripotency of stem cells, Regulation of actin cytoskeleton, Pathways in cancer, MicroRNAs in cancer, Bladder cancer, Central carbon metabolism in cancer",13
ENSG00000069702,TGFBR3,16,Spleen,6.31046235790235,39.8386657051258,0.401619876489523,-1.31609742369813,0.0539582714645672,0.946041728535433,0.107916542929134,0.600915945352303,7049,"","",,,1
ENSG00000070018,LRP6,12,Spleen,15682152.1281751,4.27356314159471,2.8079613199589,1.48952306246305,0.999495066064098,0.000504933935902249,0.0010098678718045,0.0166250276471296,4040,CDS,(RefSeq) LDL receptor related protein 6,,"mTOR signaling pathway, Wnt signaling pathway, Parathyroid hormone synthesis, secretion and action, Alzheimer disease, Pathways of neurodegeneration - multiple diseases, Pathways in cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",9
ENSG00000070193,FGF10,1,Spleen,6636042.38578312,1.00009108526449,0.99990892303128,-0.000131402275063171,0.735725373949258,0.264274626050742,0.528549252101484,0.678364686217073,2255,CDS,(RefSeq) fibroblast growth factor 10,,"MAPK signaling pathway, Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, PI3K-Akt signaling pathway, Regulation of actin cytoskeleton, Pathways in cancer, Chemical carcinogenesis - receptor activation, Melanoma, Breast cancer, Gastric cancer",11
ENSG00000070214,SLC44A1,13,Spleen,51447321.0825737,8.54763228702079,1.52088900919848,0.604914872509094,0.946683314829837,0.0533166851701634,0.106633370340327,0.595050490065491,23446,CDS,(RefSeq) solute carrier family 44 member 1,,Choline metabolism in cancer,1
ENSG00000070269,TMEM260,11,Spleen,3035396.85518593,11.1043007149928,0.990607178455463,-0.0136150193576212,0.566817610980746,0.433182389019254,0.866364778038509,0.901968810012694,54916,"","",,,1
ENSG00000070669,ASNS,2,Spleen,8.75293915308669,46.2170131338654,0.0432741076150268,-4.53035212067732,3.99230298161408e-06,0.999996007697018,7.98460596322817e-06,0.000254021882737119,440,CDS,(RefSeq) asparagine synthetase (glutamine-hydrolyzing),,"Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of amino acids",3
ENSG00000071203,MS4A12,1,Spleen,6636042.38578312,1.00424046285785,0.995777442739379,-0.0061047603597119,0.734198908019701,0.265801091980299,0.531602183960598,0.678364686217073,54860,"","",,,1
ENSG00000072954,TMEM38A,31,Spleen,22914017.7597833,4.10333685552211,7.55482698386837,2.91739871602898,1,2.98938202729901e-18,5.97876405459801e-18,8.77845335848935e-16,79041,"","",,,1
