geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000005812,FBXL3,36,Testis,18.7815330535093,39.5475884688111,0.91029570686443,-0.135592818227584,0.4199103342514,0.5800896657486,0.839820668502801,0.914726898824839,26224,CDS,(RefSeq) F-box and leucine rich repeat protein 3,,Circadian rhythm,1
ENSG00000005893,LAMP2,42,Testis,5.13585922574915,24.7601624218239,1.6962732022703,0.762368549510815,0.916572894277701,0.0834271057222989,0.166854211444598,0.669326205943685,3920,CDS,(RefSeq) lysosomal associated membrane protein 2,,"Autophagy - animal, Lysosome, Phagosome, Tuberculosis",4
ENSG00000006283,CACNA1G,2,Testis,36658190.5667367,2.24942340548953,0.889116737702278,-0.169555242933079,0.609493104644373,0.390506895355627,0.781013790711255,0.880048383059323,8913,CDS,(RefSeq) calcium voltage-gated channel subunit alpha1 G,,"MAPK signaling pathway, Calcium signaling pathway, Circadian entrainment, Aldosterone synthesis and secretion, Cortisol synthesis and secretion, GnRH secretion, Type II diabetes mellitus, Cushing syndrome",8
ENSG00000007306,CEACAM7,1,Testis,2332625.79394736,1.14966654125968,0.869817433239649,-0.201215470706737,0.680890493327653,0.319109506672347,0.638219013344694,0.798418561690377,1087,"","",,,1
ENSG00000007312,CD79B,2,Testis,12216711.9672282,3.33209276849798,0.600223384807365,-0.736428567206733,0.353022119577213,0.646977880422787,0.706044239154425,0.836121725692875,974,CDS,(RefSeq) CD79b molecule,,B cell receptor signaling pathway,1
ENSG00000008196,TFAP2B,1,Testis,18650223.126391,1.93643981853864,0.516411607748628,-0.953406665401885,0.423483009477736,0.576516990522264,0.846966018955472,0.918588712770308,7021,"","",,,1
ENSG00000010671,BTK,6,Testis,50453887.2908954,2.8588384757221,2.0987544595308,1.06953339067089,0.973113418584727,0.0268865814152726,0.0537731628305452,0.303729018815672,695,CDS,(RefSeq) Bruton tyrosine kinase,,"NF-kappa B signaling pathway, Osteoclast differentiation, Platelet activation, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Epstein-Barr virus infection, Primary immunodeficiency",7
ENSG00000010818,HIVEP2,7,Testis,25545080.2065386,4.10216395703447,1.70641643613397,0.770969766838225,0.942549216794875,0.0574507832051247,0.114901566410249,0.531820354581455,3097,"","",,,1
ENSG00000011677,GABRA3,2,Testis,2426773.253256,2.27429905422895,0.879391826805317,-0.185421970890627,0.602865506805016,0.397134493194984,0.794268986389968,0.888112335023441,2556,CDS,(RefSeq) gamma-aminobutyric acid type A receptor subunit alpha3,,"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Taste transduction, Morphine addiction, Nicotine addiction",6
ENSG00000012048,BRCA1,6,Testis,1250971.16223919,12.1314391839606,0.494582704410933,-1.01571630541601,0.0425818415622393,0.957418158437761,0.0851636831244786,0.426705584474113,672,CDS,(RefSeq) BRCA1 DNA repair associated,,"Platinum drug resistance, Homologous recombination, Fanconi anemia pathway, Ubiquitin mediated proteolysis, PI3K-Akt signaling pathway, MicroRNAs in cancer, Breast cancer",7
ENSG00000015475,BID,5,Testis,71032590.664227,7.95300129526764,0.628693472359322,-0.669571311003891,0.195579367965263,0.804420632034737,0.391158735930525,0.774842828344554,637,CDS,(RefSeq) BH3 interacting domain death agonist,,"Platinum drug resistance, Sphingolipid signaling pathway, p53 signaling pathway, Apoptosis, Apoptosis - multiple species, Necroptosis, Natural killer cell mediated cytotoxicity, Non-alcoholic fatty liver disease, Alzheimer disease, Amyotrophic lateral sclerosis, Pathways of neurodegeneration - multiple diseases, Tuberculosis, Hepatitis C, Hepatitis B, Measles, Human cytomegalovirus infection, Influenza A, Kaposi sarcoma-associated herpesvirus infection, Herpes simplex virus 1 infection, Epstein-Barr virus infection, Human immunodeficiency virus 1 infection, Pathways in cancer, Viral myocarditis, Lipid and atherosclerosis",24
ENSG00000015592,STMN4,2,Testis,25781064.0263206,1.82288090635898,1.09716438030765,0.133779690634895,0.724486472430075,0.275513527569925,0.55102705513985,0.774842828344554,81551,"","",,,1
